,address,lat,lon
0,2114 N VETERANS BLVD EAGLE PASS TX,28.7204202,-100.4759701
1,2001 DWIGHT WAY BERKELEY CA,37.8640724,-122.2687119
2,164 HIGH STREET GREENFIELD MA,42.5962034,-72.5923856
3,3600 SOUTH LOOP 340 HIGHWAY ROBINSON TX,31.495714,-97.12867399999999
4,5445 AVENUE O FORT MADISON IA,40.625953,-91.3835555
5,1901 COLLEGE AVE SANTA ANA CA,33.7621884,-117.8916223
6,"575 NORTH RIVER STREET, 7TH FLOOR WILKES-BARRE PA",41.25841519999999,-75.8666314
7,2000 S MAIN FAIRFIELD IA,40.986158,-91.9649141
8,6655 SOUTH YALE AVENUE TULSA OK,36.065896,-95.9180346
9,300 WEST MAY STREET MARENGO IA,41.8019458,-92.07321309999999
10,1776 NORTH US 287 SUITE 100 MANSFIELD TX,32.5969292,-97.14495110000001
11,2525 CHICAGO AVENUE SOUTH MINNEAPOLIS MN,44.95668089999999,-93.26194029999999
12,"2400 ST MICHAEL DRIVE, 2ND FLOOR TEXARKANA TX",33.4650139,-94.07101899999999
13,201 GREENBRIAR BOULEVARD COVINGTON LA,30.4556805,-90.13767879999999
14,6511 SPRINGBROOK AVENUE RHINEBECK NY,41.9355302,-73.91315639999999
15,2408 BROADMOOR BLVD MONROE LA,32.5359538,-92.1023051
16,320 MAIN STREET JOHNSTOWN PA,40.3259889,-78.9210469
17,21601 76TH AVE W EDMONDS WA,47.80331409999999,-122.3344444
18,1600 EAST HIGH STREET POTTSTOWN PA,40.2426719,-75.6121704
19,85 PATTON ROAD AYER MA,42.5304742,-71.6149547
20,8 PROSPECT STREET NASHUA NH,42.7564074,-71.4620781
21,1900 NORTH HIGLEY ROAD GILBERT AZ,33.3847978,-111.7228939
22,1000 EAGLES LANDING PARKWAY STOCKBRIDGE GA,33.5129022,-84.22186909999999
23,1000 WEST BOISE CIRCLE BROKEN ARROW OK,36.0783013,-95.80086070000002
24,333 COTTMAN AVENUE PHILADELPHIA PA,40.071701,-75.09110059999999
25,521 ADAMS ST MORTON WA,46.5554059,-122.2798198
26,525 W ACACIA STREET STOCKTON CA,37.9618613,-121.3007743
27,325 CYPRESS PKWY KISSIMMEE FL,28.1442646,-81.47664309999999
28,417 SOUTH EAST STREET CORYDON IA,40.7540651,-93.3115882
29,"200 LOTHROP STREET, MUH E824 PITTSBURGH PA",40.4427569,-79.96056109999999
30,"4201 ST ANTOINE ST, 2C DETROIT MI",42.3535426,-83.055094
31,1001 RAINTREE CIRCLE ALLEN TX,33.1130721,-96.6762589
32,309 NORTH 14TH STREET OKEMAH OK,35.4338507,-96.3181628
33,150 EAST ARAPAHOE THERMOPOLIS WY,43.6479359,-108.1995798
34,13652 CANTARA ST PANORAMA CITY CA,34.218819,-118.430039
35,"237 W HARRISON STREET, SUITE 100 OSBORNE KS",39.450701,-98.699323
36,2700 E PHILLIPS RD GREER SC,34.8652852,-82.2289778
37,250 HOSPITAL PLACE SOLDOTNA AK,60.4937695,-151.0786289
38,1600 SW ARCHER RD GAINESVILLE FL,29.6400137,-82.3427886
39,2500 METROHEALTH DRIVE CLEVELAND OH,41.46077460000001,-81.6987862
40,2200 MARKET ST CHARLESTOWN IN,38.4727913,-85.669657
41,6060 PARAMOUNT BLVD. LONG BEACH CA,33.8651931,-118.1576617
42,514 CLEVELAND STREET GREAT BEND KS,38.3562613,-98.79072
43,"506 THIRD STREET, PO BOX 338 TRIBUNE KS",38.4697378,-101.7526723
44,17772 BEACH BLVD HUNTINGTON BEACH CA,33.7037638,-117.9864477
45,6110 WEST PARKER ROAD PLANO TX,33.0434544,-96.8351029
46,112 ST OLAF AVENUE SOUTH CANBY MN,44.7077827,-96.2788411
47,123 SUMMER STREET WORCESTER MA,42.2648944,-71.7961653
48,1345 FOUNTAIN BLVD SPRINGFIELD OH,39.9420068,-83.81029749999999
49,1451 44TH AVE S GRAND FORKS ND,47.8772795,-97.0477433
50,PARKVIEW PLACE ST. LOUIS MO,38.6384556,-90.266001
51,9500 NW 58TH ST DORAL FL,25.825616,-80.35126199999999
52,238 BROOKLEY AVENUE JOINT BASE ANACOSTIA-BOLLING DC,38.836272,-77.014117
53,810 W HIGHWAY 71 MARBLE FALLS TX,30.5129753,-98.3044814
54,1515 VILLAGE DRIVE COTTAGE GROVE OR,43.8036697,-123.039668
55,1570 NC 8 AND 89 HWY N DANBURY NC,36.3934668,-80.1955931
56,28 CRESCENT ST MIDDLETOWN CT,41.5548617,-72.6462073
57,815 POLLARD RD LOS GATOS CA,37.2627564,-121.9696175
58,1 AMALIA DRIVE BUCKHANNON WV,38.9926405,-80.23575439999999
59,2075 E FLAMINGO RD LAS VEGAS NV,36.1129044,-115.1253166
60,"524 DR MICHAEL DEBAKEY DRIVE, 3RD FLOOR LAKE CHARLES LA",30.2156765,-93.22725600000001
61,601 SOUTH 8TH STREET GRIFFIN GA,33.2393201,-84.2674674
62,8201 EAST RIVERSIDE BOULEVARD ROCKFORD IL,42.3167815,-88.9594147
63,5555 W LAS POSITAS BOULEVARD PLEASANTON CA,37.6933946,-121.8803417
64,13855 E 14TH STREET SAN LEANDRO CA,37.712266,-122.1435578
65,7600 CENTRAL AVENUE PHILADELPHIA PA,40.0708188,-75.0872131
66,2500 MERCED STREET SAN LEANDRO CA,37.706844,-122.1642717
67,2250 E FLAMINGO RD LAS VEGAS NV,36.1157421,-115.1215178
68,1307 CLEVELAND STREET FRIONA TX,34.6443676,-102.7216817
69,10333 EL CAMINO REAL ATASCADERO CA,35.4595634,-120.6428663
70,5904 S SOUTHWOOD ROAD SPRINGFIELD MO,37.104565,-93.2356707
71,501 S BUENA VISTA ST BURBANK CA,34.1572533,-118.3292851
72,2601 GABRIEL AVENUE PARSONS KS,37.3499515,-95.27999469999999
73,711 CHESTERFIELD HWY CHERAW SC,34.694497,-79.91962000000001
74,"1800 IRVING PLACE, SUITE 100 SHREVEPORT LA",32.4938909,-93.7446305
75,4002 VISTA WAY OCEANSIDE CA,33.1856484,-117.2904359
76,169 ASHLEY AVE CHARLESTON SC,32.784352,-79.946823
77,1301 FIRST STREET KENNETT MO,36.2355535,-90.0403649
78,312 E CUSTER ST NESS CITY KS,38.4582617,-99.9013318
79,151 WEST GALBRAITH RD CINCINNATI OH,39.2127231,-84.4802962
80,"475 PROGRESS BLVD, PO BOX 649 SILER CITY NC",35.7230615,-79.4208929
81,1150 N INDIAN CANYON DR PALM SPRINGS CA,33.8386098,-116.5431987
82,7970 W JEFFERSON BLVD FORT WAYNE IN,41.0428899,-85.24816369999999
83,"304 TURNER MCCALL BLVD, PO BOX 233 ROME GA",34.2598725,-85.17940759999999
84,"218 E PACK ST, PO BOX 180 MOUNDRIDGE KS",38.205397,-97.5168558
85,300 HIGHLAND AVENUE HANOVER PA,39.8085683,-76.9829377
86,711 GREEN RD MADISON IN,38.7500522,-85.4021645
87,555 CREEKSIDE CROSSING NEW BRAUNFELS TX,29.7207167,-98.0695557
88,5001 COMMERCE DR BAKERSFIELD CA,35.3671521,-119.0574546
89,"3250 E MIDLAND RD, SUITE 1 BAY CITY MI",43.6007246,-83.9252546
90,433 EAST 6TH STREET MESA AZ,33.4244021,-111.8216455
91,603 NORTH PROGRESS AVENUE SILOAM SPRINGS AR,36.1898192,-94.5075045
92,1027 WASHINGTON AVENUE DETROIT LAKES MN,46.8135614,-95.8441725
93,2200 STATE ST LAWRENCEVILLE IL,38.7286375,-87.6937808
94,1006 N H STREET ABERDEEN WA,46.9813303,-123.8204535
95,523 NORTH 3RD STREET BRAINERD MN,46.3620054,-94.2058917
96,3 SOUTH FOURTH AVENUE MARSHALLTOWN IA,42.0495223,-92.9069853
97,602 INDIANA AVENUE LUBBOCK TX,33.5880547,-101.8912243
98,4100 AUSTIN PEAY HWY MEMPHIS TN,35.2371956,-89.8919331
99,1221 SOUTH GEAR AVENUE WEST BURLINGTON IA,40.8094702,-91.17414959999999
