,address,coordinates
0,"1513 Park Ave, Columbus, WI 53925, USA","43.32260735,-89.03537068"
1,"1333 W 5th St #200, Sheridan, WY 82801, USA","44.80837306,-106.976002"
2,"400 E Marshall St, West Chester, PA 19380, USA","39.968325,-75.600907"
3,"300 3rd Ave, Albany, MN 56307, USA","45.63876207,-94.56688489"
4,"1755 Curie Dr, El Paso, TX 79902, USA","31.7804314,-106.4774909"
5,"545 Cook St, Royston, GA 30662, USA","34.28325037,-83.11897237"
6,"1340 Empire Central Dr, Dallas, TX 75247, USA","32.82592017,-96.86960835"
7,"10133 I-10, Baytown, TX 77521, USA","29.8221352,-94.9029286"
8,"210 Judson St, Navasota, TX 77868, USA","30.39244908,-96.07767218"
9,"1303 N Main St suite e, Cedar City, UT 84721, USA","37.69976036,-113.0666749"
10,"706 2nd St SE, Cut Bank, MT 59427, USA","48.62850987,-112.3270235"
11,"718 Smyth Rd, Manchester, NH 03104, USA","43.01235803,-71.44086704"
12,"5001 E Main St, Erin, TN 37061, USA","36.32017057,-87.68964349"
13,"229 Bryant St, Buffalo, NY 14222, USA","42.90920851,-78.87520901"
14,"1901 S Shady St, Mountain City, TN 37683, USA","36.45355595,-81.79768063"
15,"312 Grammont St #300, Monroe, LA 71201, USA","32.50082455,-92.11402732"
16,"1310 McCullough Ave, San Antonio, TX 78212, USA","29.44180343,-98.49098397"
17,"2755 Colonial Dr, Helena, MT 59601, USA","46.58242897,-111.9888928"
18,"801 Middleford Rd, Seaford, DE 19973, USA","38.64168815,-75.60448633"
19,"350 Crossgates Blvd, Brandon, MS 39042, USA","32.28664299,-90.0347478"
20,"2051-B Hamill Rd, Hixson, TN 37343, USA","35.12468548,-85.23808028"
21,"1306 Kanawha Blvd E, Charleston, WV 25301, USA","38.34335473,-81.63005402"
22,"404 N Keene St, Columbia, MO 65201, USA","38.95747363,-92.28821141"
23,"625 E Broadway Ave, Jackson, WY 83001, USA","43.48028185,-110.7495779"
24,"5700 Fitzhugh Ave, Richmond, VA 23226, USA","37.58594398,-77.50671264"
25,"1995 U.S. 51 S #105, Covington, TN 38019, USA","35.53571016,-89.67760669"
26,"3003 Bee Cave Rd, Austin, TX 78746, USA","30.27075965,-97.79596702"
27,"8389 S Broadway Ave, Tyler, TX 75703, USA","32.25806171,-95.30890277"
28,"711 W Adams St, Black River Falls, WI 54615, USA","44.3032411,-90.85515144"
29,"2600 Stockton Blvd, Sacramento, CA 95817, USA","38.55198584,-121.4564434"
30,"2400 St Michael Dr, Texarkana, TX 75503, USA","33.46528357,-94.07103727"
31,"619 S Marion Ave, Lake City, FL 32025, USA","30.18182054,-82.63605347"
32,"97 Sunfield Ave, Edison, NJ 08837, USA","40.5000667,-74.3472778"
33,"909 Enterprise Dr, Jonesboro, AR 72401, USA","35.81006986,-90.69154203"
34,"2448 E 81st St #4700, Tulsa, OK 74137, USA","36.04293912,-95.95394971"
35,"216 Sunset Pl, Neillsville, WI 54456, USA","44.55788671,-90.60787494"
36,"79-25 Winchester Blvd, Queens, NY 11427, USA","40.74113951,-73.7315253"
37,"911 E 20th St, Sioux Falls, SD 57105, USA","43.53423365,-96.71432391"
38,"100 5th St, Douglas, AZ 85607, USA","31.33959437,-109.5606822"
39,"500 AZ-89, Prescott, AZ 86301, USA","34.55387325,-112.4525751"
40,"4801 Linwood Blvd, Kansas City, MO 64128, USA","39.0640641,-94.5264144"
41,"100 Water Grande Blvd, Little River, SC 29566, USA","33.866419,-78.660205"
42,"200 Memorial Dr, Luray, VA 22835, USA","38.66325,-78.468518"
43,"275 Nichols Rd, Fitchburg, MA 01420, USA","42.59760202,-71.80539154"
44,"901 Mountain View Dr, Shelton, WA 98584, USA","47.22589089,-123.114415"
45,"601 Grove Ave, Wild Rose, WI 54984, USA","44.18356053,-89.2460595"
46,"850 Maple St, Medical Lake, WA 99022, USA","47.57314563,-117.6939507"
47,"9WRF+764, San Juan, 00921, Puerto Rico","18.39093314,-66.07618755"
48,"2207 S Clear Creek Rd #304, Killeen, TX 76549, USA","31.11344991,-97.80167081"
49,"4001 Preston Ave, Pasadena, TX 77505, USA","29.6508561,-95.1700085"
50,"6130 Parkway Dr, Corpus Christi, TX 78414, USA","27.68604136,-97.37554712"
51,"4015 S, 4015 McLeod Dr, Las Vegas, NV 89121, USA","36.11658616,-115.1103846"
52,"58 Anna Marsh Ln, Brattleboro, VT 05301, USA","42.85917149,-72.56138763"
53,"8613 MS-12, Ackerman, MS 39735, USA","33.31994427,-89.18268334"
54,"835 S Van Buren St, Green Bay, WI 54301, USA","44.50113003,-88.01234487"
55,"1710 Harper Rd, Beckley, WV 25801, USA","37.7875544,-81.20193159"
56,"1005 E 32nd St, Austin, TX 78705, USA","30.28968932,-97.72498576"
57,"506 E San Antonio St 3rd Floor, Victoria, TX 77901, USA","28.80798268,-96.99883805"
58,"1230 6th Ave, Huntington, WV 25701, USA","38.41959145,-82.4366994"
59,"1310B Paluxy Rd #3000, Granbury, TX 76048, USA","32.43248931,-97.8038485"
60,"12040 NE 128th St ms105, Kirkland, WA 98034, USA","47.71589109,-122.1784012"
61,"2301 N Lake Dr, Milwaukee, WI 53211, USA","43.06116329,-87.88009033"
62,"Warren Memorial Hospital, Front Royal, VA 22630, USA","38.9303431,-78.19835145"
63,"100 Madison Ave, Morristown, NJ 07960, USA","40.78893717,-74.46620335"
64,"1215 Lee St, Charlottesville, VA 22903, USA","38.0313398,-78.49868708"
65,"1114 W Madison Ave, Athens, TN 37303, USA","35.44081499,-84.60735287"
